2024-03-27_14-37-03_remote-1spatial maze.txt,id1=15,id2=4,01:48:12
2024-03-27_14-39-37,-3.47406,-44.03465,111.0841,0
2024-03-27_14-39-37,-3.080132,-44.32986,104.5784,0
2024-03-27_14-39-38,-2.591527,-44.68239,104.7229,0
2024-03-27_14-39-38,-1.786499,-45.08223,94.16521,0
2024-03-27_14-39-39,-1.127446,-45.35656,93.22808,0
2024-03-27_14-39-39,-1.169565,-45.47118,99.5444,0
2024-03-27_14-39-40,-1.133035,-45.54202,121.4041,0
2024-03-27_14-39-40,-1.10933,-45.54872,119.3912,0
2024-03-27_14-39-41,-1.133459,-45.53197,116.8857,0
2024-03-27_14-39-41,-1.151259,-45.51612,116.2187,0
2024-03-27_14-39-42,-1.115151,-45.45476,96.0853,0
2024-03-27_14-39-42,-1.119708,-45.32236,55.68728,0
2024-03-27_14-39-43,-1.20473,-45.07972,15.24244,1
2024-03-27_14-39-43,-1.190027,-45.0463,14.72034,1
2024-03-27_14-39-44,-1.148304,-45.06163,31.24218,1
2024-03-27_14-39-44,-1.138479,-45.09686,44.16824,1
2024-03-27_14-39-45,-1.178064,-45.17107,62.84276,1
2024-03-27_14-39-45,-1.22033,-45.20107,78.00455,1
