2024-03-27_11-30-57_player-2spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-34-41,48.26866,-43.34363,355.2266,10
2024-03-27_11-34-41,48.1233,-42.90502,352.8904,9
2024-03-27_11-34-42,47.98338,-42.53749,351.9763,9
2024-03-27_11-34-42,47.63415,-41.63342,350.181,9
2024-03-27_11-34-43,47.2956,-40.83334,350.1902,6
2024-03-27_11-34-43,47.14128,-40.04974,348.0908,6
2024-03-27_11-34-44,47.12799,-39.54918,345.1737,5
2024-03-27_11-34-44,46.95989,-38.96769,344.86,4
2024-03-27_11-34-45,46.6012,-38.31716,344.6516,4
2024-03-27_11-34-45,46.48141,-38.12619,345.9553,4
2024-03-27_11-34-46,46.04297,-37.27756,348.1679,4
2024-03-27_11-34-46,45.17945,-36.2768,345.291,5
2024-03-27_11-34-47,44.48407,-35.86962,343.2945,3
2024-03-27_11-34-47,44.04386,-35.01913,350.8102,3
2024-03-27_11-34-48,43.47194,-33.6422,350.7537,2
2024-03-27_11-34-48,43.3237,-33.28892,350.6909,2
2024-03-27_11-34-49,43.19014,-32.95816,347.4586,2
2024-03-27_11-34-49,42.3448,-31.31245,347.2607,2
2024-03-27_11-34-50,42.18541,-30.52333,344.7684,4
2024-03-27_11-34-50,42.17226,-30.06409,346.7199,4
2024-03-27_11-34-51,42.13454,-29.29542,340.4557,6
2024-03-27_11-34-51,41.79625,-28.6864,333.8173,6
2024-03-27_11-34-52,41.7354,-28.61826,330.2028,4
2024-03-27_11-34-52,41.25506,-28.22043,331.1129,4
2024-03-27_11-34-53,39.55714,-26.68999,336.2453,4
2024-03-27_11-34-53,38.74384,-25.88416,333.8894,5
2024-03-27_11-34-54,38.24664,-25.41134,332.8677,3
2024-03-27_11-34-54,37.94366,-25.14741,333.9928,4
2024-03-27_11-34-55,37.48056,-24.72857,331.0336,4
2024-03-27_11-34-55,36.94644,-24.10251,330.5863,5
2024-03-27_11-34-56,35.98919,-22.98479,331.6555,4
