2024-03-27_12-22-22_remote-1spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-24-59,-34.83244,6.231299,315.5245,9
2024-03-27_12-25-00,-34.93262,6.241398,313.4724,9
2024-03-27_12-25-00,-35.13183,6.266742,316.067,9
2024-03-27_12-25-01,-35.21864,6.276566,318.7175,9
2024-03-27_12-25-01,-35.25066,6.327709,317.8362,12
2024-03-27_12-25-02,-35.4083,6.425968,316.397,12
2024-03-27_12-25-02,-35.55236,6.478906,316.2047,12
2024-03-27_12-25-03,-35.86708,6.544703,319.2708,12
2024-03-27_12-25-03,-36.0611,6.619405,317.7464,10
2024-03-27_12-25-04,-36.25094,6.775885,318.252,9
2024-03-27_12-25-04,-36.39574,6.847785,318.4787,10
2024-03-27_12-25-05,-36.67216,6.879828,317.1788,9
2024-03-27_12-25-05,-37.18311,7.009007,315.6276,10
2024-03-27_12-25-06,-37.25638,7.094996,317.7126,8
2024-03-27_12-25-06,-37.26429,7.14203,318.7191,10
2024-03-27_12-25-07,-37.31847,7.139204,318.5042,11
2024-03-27_12-25-07,-37.70626,7.251401,320.5263,11
2024-03-27_12-25-08,-37.8265,7.292439,321.605,11
2024-03-27_12-25-08,-38.01971,7.408735,317.0343,10
2024-03-27_12-25-09,-38.47097,7.571526,316.9068,10
2024-03-27_12-25-09,-38.88177,7.694059,323.094,10
2024-03-27_12-25-10,-39.0297,7.747937,330.6083,10
2024-03-27_12-25-10,-39.25275,7.878179,330.4171,10
2024-03-27_12-25-11,-39.35015,7.917936,329.3156,10
2024-03-27_12-25-11,-39.65347,7.886924,332.7125,10
2024-03-27_12-25-12,-39.7505,7.93313,336.6971,10
2024-03-27_12-25-12,-39.94075,7.930956,328.8781,9
2024-03-27_12-25-13,-40.02181,7.910198,334.8108,9
2024-03-27_12-25-13,-40.26163,7.862837,339.721,9
2024-03-27_12-25-14,-40.42658,7.85144,343.4944,8
2024-03-27_12-25-14,-40.46058,7.906118,346.303,8
2024-03-27_12-25-15,-40.7127,7.908407,341.0665,8
2024-03-27_12-25-15,-40.95295,7.932597,354.4068,9
2024-03-27_12-25-16,-40.97217,7.943431,358.0492,9
2024-03-27_12-25-16,-41.01665,7.96659,356.1002,9
2024-03-27_12-25-17,-41.01157,8.025552,359.0496,9
2024-03-27_12-25-17,-40.98066,7.99278,358.359,9
2024-03-27_12-25-18,-40.98031,7.92242,359.5247,8
2024-03-27_12-25-18,-40.99456,7.932074,0.7707211,8
2024-03-27_12-25-19,-41.04814,7.970362,5.108633,9
2024-03-27_12-25-19,-41.05751,7.980897,8.328813,9
2024-03-27_12-25-20,-41.02092,7.976327,13.31212,10
2024-03-27_12-25-20,-41.01173,7.926897,9.704649,10
2024-03-27_12-25-21,-41.11119,7.987788,7.342888,10
2024-03-27_12-25-21,-41.15794,8.043424,11.43373,10
2024-03-27_12-25-22,-41.158,8.049245,13.44608,11
2024-03-27_12-25-22,-41.13247,8.002134,8.648792,11
2024-03-27_12-25-23,-41.12737,7.991465,1.255215,10
2024-03-27_12-25-23,-41.30903,8.015467,1.515347,11
2024-03-27_12-25-24,-41.49356,8.198031,0.8008109,10
2024-03-27_12-25-24,-41.68004,8.577083,5.25734,10
2024-03-27_12-25-25,-41.73424,9.08685,16.13838,10
2024-03-27_12-25-25,-41.7448,9.493196,19.3352,11
2024-03-27_12-25-26,-41.71922,9.828157,26.25792,11
2024-03-27_12-25-26,-41.63847,9.855453,42.58913,11
2024-03-27_12-25-27,-41.62736,9.908361,28.53563,11
2024-03-27_12-25-27,-41.67344,9.922381,9.286835,10
2024-03-27_12-25-28,-41.70568,9.950392,15.10959,10
2024-03-27_12-25-28,-41.67659,10.12121,17.8959,11
2024-03-27_12-25-29,-41.57846,10.12093,41.77311,11
2024-03-27_12-25-29,-41.47919,10.21686,47.2777,11
2024-03-27_12-25-30,-41.47478,10.32649,51.38685,12
2024-03-27_12-25-30,-41.4978,10.36906,48.99,12
2024-03-27_12-25-31,-41.25032,10.57989,42.07677,14
2024-03-27_12-25-31,-40.98529,10.82998,26.89091,14
