2024-03-26_11-38-09_remote-1spatial maze.txt,id=23,id=7,04:20:29
2024-03-26_11-42-34,-13.80442,-12.34725,347.4844,8
2024-03-26_11-42-35,-13.80235,-12.34966,348.662,9
2024-03-26_11-42-36,-13.8055,-12.34541,350.7268,9
2024-03-26_11-42-37,-13.80305,-12.33894,349.1807,9
2024-03-26_11-42-38,-13.81032,-12.33589,345.833,9
2024-03-26_11-42-39,-13.80996,-12.33729,347.6786,9
2024-03-26_11-42-40,-13.80965,-12.337,349.1202,9
2024-03-26_11-42-41,-13.81765,-12.34129,348.1469,9
2024-03-26_11-42-42,-13.82161,-12.33931,348.1831,9
2024-03-26_11-42-43,-13.81912,-12.3375,344.8434,9
2024-03-26_11-42-44,-13.8183,-12.3366,352.7227,9
2024-03-26_11-42-45,-13.8169,-12.33513,346.1482,9
2024-03-26_11-42-46,-13.8153,-12.26172,353.6983,9
2024-03-26_11-42-47,-13.34212,-11.54395,349.6859,9
2024-03-26_11-42-48,-12.43904,-9.85322,351.7195,8
2024-03-26_11-42-49,-11.85707,-8.596901,335.1886,8
2024-03-26_11-42-50,-11.88555,-8.590736,312.1573,8
2024-03-26_11-42-51,-11.88634,-8.643379,328.0395,8
2024-03-26_11-42-52,-11.8839,-8.661377,334.8078,8
2024-03-26_11-42-53,-11.88052,-8.666725,329.677,8
2024-03-26_11-42-54,-11.88052,-8.666725,329.677,8
2024-03-26_11-42-55,-11.88052,-8.666725,329.677,8
2024-03-26_11-42-56,-11.88052,-8.666725,329.677,8
2024-03-26_11-42-57,-11.88052,-8.666725,329.677,8
2024-03-26_11-42-58,-11.88052,-8.666725,329.677,8
