2024-03-27_13-34-58_player-2spatial maze.txt,id1=19,id2=11,04:32:25,FAILURE
2024-03-27_13-36-41,7.93315,0.4171536,111.3044,5
2024-03-27_13-36-42,8.603242,-0.2987471,103.2347,5
2024-03-27_13-36-42,8.762026,-1.019237,83.75423,6
2024-03-27_13-36-43,9.187667,-1.413125,79.39897,6
2024-03-27_13-36-43,10.01602,-1.482519,66.48915,6
2024-03-27_13-36-44,10.63173,-1.454513,68.55836,6
2024-03-27_13-36-44,11.5038,-1.361127,68.35114,5
2024-03-27_13-36-45,12.9215,-1.027323,57.39041,6
2024-03-27_13-36-45,13.79163,-0.4806075,52.62449,6
2024-03-27_13-36-46,13.79636,-0.07805616,48.5014,6
2024-03-27_13-36-46,13.83224,0.2481059,44.98596,4
2024-03-27_13-36-47,13.83161,0.5851093,64.5919,6
2024-03-27_13-36-47,14.16978,1.100658,75.58286,6
2024-03-27_13-36-48,14.34365,1.215761,81.16464,6
2024-03-27_13-36-48,14.61988,1.173891,86.52252,6
2024-03-27_13-36-49,15.13405,1.185875,86.50256,6
2024-03-27_13-36-49,15.74429,1.183516,86.53019,6
2024-03-27_13-36-50,15.98946,1.183244,87.34509,6
2024-03-27_13-36-50,16.03445,1.191193,84.57801,6
2024-03-27_13-36-51,16.71334,1.203459,79.58368,6
2024-03-27_13-36-51,17.94621,1.195899,83.00272,6
2024-03-27_13-36-52,19.04946,1.179751,88.39351,6
2024-03-27_13-36-52,20.00699,1.161551,98.75872,6
2024-03-27_13-36-53,20.28964,1.144448,111.179,6
2024-03-27_13-36-53,20.74423,1.06296,120.2233,7
2024-03-27_13-36-54,21.21949,0.4527708,137.6531,8
2024-03-27_13-36-54,21.17676,-0.4792398,174.026,9
2024-03-27_13-36-55,20.8072,-1.613402,257.1841,10
2024-03-27_13-36-55,20.46706,-1.946272,258.3632,10
2024-03-27_13-36-56,20.50176,-2.02756,144.2476,10
2024-03-27_13-36-56,20.61807,-2.124454,104.8282,10
2024-03-27_13-36-57,21.53578,-2.858869,98.33721,10
2024-03-27_13-36-57,22.34995,-3.298752,84.26881,10
2024-03-27_13-36-58,22.97015,-3.422672,76.71821,10
2024-03-27_13-36-58,23.83723,-3.413028,65.43028,10
2024-03-27_13-36-59,24.56925,-3.178414,48.13322,10
2024-03-27_13-36-59,25.55964,-2.447212,40.42902,9
2024-03-27_13-37-00,26.70973,-1.302886,34.96996,7
2024-03-27_13-37-00,27.31005,-0.5518904,32.21522,10
2024-03-27_13-37-01,28.18867,0.6221745,31.85332,13
2024-03-27_13-37-01,28.7838,1.693503,31.48495,13
2024-03-27_13-37-02,28.77693,3.277245,24.16841,11
2024-03-27_13-37-02,28.77051,4.19737,7.997422,11
2024-03-27_13-37-03,28.76992,4.438228,6.550983,11
2024-03-27_13-37-03,28.78393,4.757111,12.33602,9
2024-03-27_13-37-04,28.75603,5.453032,10.91774,8
2024-03-27_13-37-04,28.76789,6.213266,22.93912,8
2024-03-27_13-37-05,28.78477,6.297409,51.77277,8
2024-03-27_13-37-05,28.66238,6.113753,110.4368,8
2024-03-27_13-37-06,28.59819,4.634485,159.9915,11
2024-03-27_13-37-06,27.82608,3.468559,253.7139,11
2024-03-27_13-37-07,26.48227,2.528173,278.4412,12
2024-03-27_13-37-07,26.0834,2.257255,289.0033,12
2024-03-27_13-37-08,26.06522,2.23846,302.9531,12
2024-03-27_13-37-08,26.03884,2.612989,313.373,12
2024-03-27_13-37-09,26.0529,3.051233,324.0753,12
2024-03-27_13-37-09,26.06274,3.876756,330.9764,11
2024-03-27_13-37-10,26.04159,4.70872,328.0709,11
2024-03-27_13-37-10,26.03281,5.315448,318.3853,10
2024-03-27_13-37-11,25.99197,5.769235,308.9038,8
2024-03-27_13-37-11,25.67526,6.163701,304.6846,8
2024-03-27_13-37-12,24.43697,6.548776,306.9297,8
2024-03-27_13-37-12,22.45928,7.023319,312.5585,8
2024-03-27_13-37-13,20.81773,7.598936,319.27,8
2024-03-27_13-37-13,19.72598,8.206557,326.6647,8
2024-03-27_13-37-14,18.55323,8.997836,332.9174,8
2024-03-27_13-37-14,17.56583,9.684325,326.7276,8
2024-03-27_13-37-15,16.63664,10.33187,321.2174,7
2024-03-27_13-37-15,15.64888,11.19822,311.5061,7
2024-03-27_13-37-16,14.82685,11.24429,270.5426,7
2024-03-27_13-37-16,14.18913,11.26868,271.6968,7
2024-03-27_13-37-17,14.15774,11.40809,332.7589,7
2024-03-27_13-37-17,14.14462,11.56791,355.7165,7
2024-03-27_13-37-18,14.05054,12.15136,5.43508,8
2024-03-27_13-37-18,14.10098,12.49374,14.45861,8
2024-03-27_13-37-19,14.30879,13.35068,13.46032,6
2024-03-27_13-37-19,14.44985,13.83541,14.26195,6
2024-03-27_13-37-20,14.6241,13.81868,28.10872,6
2024-03-27_13-37-20,15.18324,13.81619,39.71402,6
2024-03-27_13-37-21,15.79231,13.78916,43.13142,6
2024-03-27_13-37-21,15.94753,13.79017,41.87149,6
